run,type,module,name,attrname,attrvalue,value
Scenario1-9-20260625-12:06:01-4538,scalar,Scenario.node[13].appl,generatedWSMs,,,0
Scenario1-9-20260625-12:06:01-4538,scalar,Scenario.node[13].appl,receivedWSMs,,,0
Scenario1-9-20260625-12:06:01-4538,scalar,Scenario.node[13].appl,generatedBSMs,,,122
Scenario1-9-20260625-12:06:01-4538,scalar,Scenario.node[13].appl,receivedBSMs,,,2243
Scenario1-9-20260625-12:06:01-4538,scalar,Scenario.node[13].appl,generatedWSAs,,,0
Scenario1-9-20260625-12:06:01-4538,scalar,Scenario.node[13].appl,receivedWSAs,,,0
Scenario1-9-20260625-12:06:01-4538,scalar,Scenario.node[13].nic.phy80211p,busyTime,,,0.019120655737705
Scenario1-9-20260625-12:06:01-4538,scalar,Scenario.node[13].nic.mac1609_4,ReceivedUnicastPackets,,,0
Scenario1-9-20260625-12:06:01-4538,scalar,Scenario.node[13].nic.mac1609_4,ReceivedBroadcasts,,,2243
Scenario1-9-20260625-12:06:01-4538,scalar,Scenario.node[13].nic.mac1609_4,SentPackets,,,122
Scenario1-9-20260625-12:06:01-4538,scalar,Scenario.node[13].nic.mac1609_4,SentAcknowledgements,,,0
Scenario1-9-20260625-12:06:01-4538,scalar,Scenario.node[13].nic.mac1609_4,RetriesExceeded,,,0
Scenario1-9-20260625-12:06:01-4538,scalar,Scenario.node[13].nic.mac1609_4,SNIRLostPackets,,,0
Scenario1-9-20260625-12:06:01-4538,scalar,Scenario.node[13].nic.mac1609_4,RXTXLostPackets,,,0
Scenario1-9-20260625-12:06:01-4538,scalar,Scenario.node[13].nic.mac1609_4,TotalLostPackets,,,0
Scenario1-9-20260625-12:06:01-4538,scalar,Scenario.node[13].nic.mac1609_4,DroppedPacketsInMac,,,0
Scenario1-9-20260625-12:06:01-4538,scalar,Scenario.node[13].nic.mac1609_4,TooLittleTime,,,0
Scenario1-9-20260625-12:06:01-4538,scalar,Scenario.node[13].nic.mac1609_4,TimesIntoBackoff,,,122
Scenario1-9-20260625-12:06:01-4538,scalar,Scenario.node[13].nic.mac1609_4,SlotsBackoff,,,188
Scenario1-9-20260625-12:06:01-4538,scalar,Scenario.node[13].nic.mac1609_4,NumInternalContention,,,0
