run,type,module,name,attrname,attrvalue,value
Scenario1-0-20260614-20:16:51-2667,scalar,Scenario.node[13].appl,generatedWSMs,,,0
Scenario1-0-20260614-20:16:51-2667,scalar,Scenario.node[13].appl,receivedWSMs,,,0
Scenario1-0-20260614-20:16:51-2667,scalar,Scenario.node[13].appl,generatedBSMs,,,131
Scenario1-0-20260614-20:16:51-2667,scalar,Scenario.node[13].appl,receivedBSMs,,,2496
Scenario1-0-20260614-20:16:51-2667,scalar,Scenario.node[13].appl,generatedWSAs,,,0
Scenario1-0-20260614-20:16:51-2667,scalar,Scenario.node[13].appl,receivedWSAs,,,0
Scenario1-0-20260614-20:16:51-2667,scalar,Scenario.node[13].nic.phy80211p,busyTime,,,0.019815572519084
Scenario1-0-20260614-20:16:51-2667,scalar,Scenario.node[13].nic.mac1609_4,ReceivedUnicastPackets,,,0
Scenario1-0-20260614-20:16:51-2667,scalar,Scenario.node[13].nic.mac1609_4,ReceivedBroadcasts,,,2496
Scenario1-0-20260614-20:16:51-2667,scalar,Scenario.node[13].nic.mac1609_4,SentPackets,,,131
Scenario1-0-20260614-20:16:51-2667,scalar,Scenario.node[13].nic.mac1609_4,SentAcknowledgements,,,0
Scenario1-0-20260614-20:16:51-2667,scalar,Scenario.node[13].nic.mac1609_4,RetriesExceeded,,,0
Scenario1-0-20260614-20:16:51-2667,scalar,Scenario.node[13].nic.mac1609_4,SNIRLostPackets,,,0
Scenario1-0-20260614-20:16:51-2667,scalar,Scenario.node[13].nic.mac1609_4,RXTXLostPackets,,,0
Scenario1-0-20260614-20:16:51-2667,scalar,Scenario.node[13].nic.mac1609_4,TotalLostPackets,,,0
Scenario1-0-20260614-20:16:51-2667,scalar,Scenario.node[13].nic.mac1609_4,DroppedPacketsInMac,,,0
Scenario1-0-20260614-20:16:51-2667,scalar,Scenario.node[13].nic.mac1609_4,TooLittleTime,,,0
Scenario1-0-20260614-20:16:51-2667,scalar,Scenario.node[13].nic.mac1609_4,TimesIntoBackoff,,,131
Scenario1-0-20260614-20:16:51-2667,scalar,Scenario.node[13].nic.mac1609_4,SlotsBackoff,,,182
Scenario1-0-20260614-20:16:51-2667,scalar,Scenario.node[13].nic.mac1609_4,NumInternalContention,,,0
Scenario1-0-20260614-20:16:51-2667,scalar,Scenario.node[13].nic.mac1609_4,totalBusyTime,,,0.273339
Scenario1-0-20260614-20:16:51-2667,scalar,Scenario.node[13].nic.mac1609_4,retriesExceeded:count,,,0
Scenario1-0-20260614-20:16:51-2667,scalar,Scenario.node[13].nic.mac1609_4,sentAcks:count,,,0
Scenario1-0-20260614-20:16:51-2667,scalar,Scenario.node[13].nic.mac1609_4,sentPackets:count,,,131
Scenario1-0-20260614-20:16:51-2667,scalar,Scenario.node[13].nic.mac1609_4,collisions:count,,,0
Scenario1-0-20260614-20:16:51-2667,scalar,Scenario.node[13].nic.mac1609_4,channelBusy:timeavg,,,0.020865572519084
