run,type,module,name,attrname,attrvalue,value
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[13].appl,generatedWSMs,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[13].appl,receivedWSMs,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[13].appl,generatedBSMs,,,147
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[13].appl,receivedBSMs,,,2910
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[13].appl,generatedWSAs,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[13].appl,receivedWSAs,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[13].nic.phy80211p,busyTime,,,0.020594829931972
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[13].nic.mac1609_4,ReceivedUnicastPackets,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[13].nic.mac1609_4,ReceivedBroadcasts,,,2910
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[13].nic.mac1609_4,SentPackets,,,147
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[13].nic.mac1609_4,SentAcknowledgements,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[13].nic.mac1609_4,RetriesExceeded,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[13].nic.mac1609_4,SNIRLostPackets,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[13].nic.mac1609_4,RXTXLostPackets,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[13].nic.mac1609_4,TotalLostPackets,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[13].nic.mac1609_4,DroppedPacketsInMac,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[13].nic.mac1609_4,TooLittleTime,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[13].nic.mac1609_4,TimesIntoBackoff,,,147
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[13].nic.mac1609_4,SlotsBackoff,,,217
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[13].nic.mac1609_4,NumInternalContention,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[13].nic.mac1609_4,totalBusyTime,,,0.318075
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[13].nic.mac1609_4,retriesExceeded:count,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[13].nic.mac1609_4,sentAcks:count,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[13].nic.mac1609_4,sentPackets:count,,,147
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[13].nic.mac1609_4,collisions:count,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[13].nic.mac1609_4,channelBusy:timeavg,,,0.021644560188911
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[13].veinsmobility,startTime,,,13.1
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[13].veinsmobility,totalTime,,,14.6
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[13].veinsmobility,stopTime,,,27.8
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[13].veinsmobility,minSpeed,,,0.25729001301876
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[13].veinsmobility,maxSpeed,,,11.322411386115
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[13].veinsmobility,totalDistance,,,134.35901296773
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[13].veinsmobility,totalCO2Emission,,,42.312326508641
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[6].appl,generatedWSMs,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[6].appl,receivedWSMs,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[6].appl,generatedBSMs,,,260
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[6].appl,receivedBSMs,,,4700
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[6].appl,generatedWSAs,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[6].appl,receivedWSAs,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[6].nic.phy80211p,busyTime,,,0.018803999999999
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[6].nic.mac1609_4,ReceivedUnicastPackets,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[6].nic.mac1609_4,ReceivedBroadcasts,,,4700
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[6].nic.mac1609_4,SentPackets,,,260
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[6].nic.mac1609_4,SentAcknowledgements,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[6].nic.mac1609_4,RetriesExceeded,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[6].nic.mac1609_4,SNIRLostPackets,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[6].nic.mac1609_4,RXTXLostPackets,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[6].nic.mac1609_4,TotalLostPackets,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[6].nic.mac1609_4,DroppedPacketsInMac,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[6].nic.mac1609_4,TooLittleTime,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[6].nic.mac1609_4,TimesIntoBackoff,,,260
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[6].nic.mac1609_4,SlotsBackoff,,,397
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[6].nic.mac1609_4,NumInternalContention,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[6].nic.mac1609_4,totalBusyTime,,,0.5161
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[6].nic.mac1609_4,retriesExceeded:count,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[6].nic.mac1609_4,sentAcks:count,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[6].nic.mac1609_4,sentPackets:count,,,260
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[6].nic.mac1609_4,collisions:count,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[6].nic.mac1609_4,channelBusy:timeavg,,,0.019853837645961
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[6].veinsmobility,startTime,,,6.1
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[6].veinsmobility,totalTime,,,25.9
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[6].veinsmobility,stopTime,,,32.1
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[6].veinsmobility,minSpeed,,,0.25235429966287
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[6].veinsmobility,maxSpeed,,,13.834176974309
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[6].veinsmobility,totalDistance,,,278.63981353481
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[6].veinsmobility,totalCO2Emission,,,89.806519477959
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[7].appl,generatedWSMs,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[7].appl,receivedWSMs,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[7].appl,generatedBSMs,,,253
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[7].appl,receivedBSMs,,,4727
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[7].appl,generatedWSAs,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[7].appl,receivedWSAs,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[7].nic.phy80211p,busyTime,,,0.019435256916995
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[7].nic.mac1609_4,ReceivedUnicastPackets,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[7].nic.mac1609_4,ReceivedBroadcasts,,,4727
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[7].nic.mac1609_4,SentPackets,,,253
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[7].nic.mac1609_4,SentAcknowledgements,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[7].nic.mac1609_4,RetriesExceeded,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[7].nic.mac1609_4,SNIRLostPackets,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[7].nic.mac1609_4,RXTXLostPackets,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[7].nic.mac1609_4,TotalLostPackets,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[7].nic.mac1609_4,DroppedPacketsInMac,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[7].nic.mac1609_4,TooLittleTime,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[7].nic.mac1609_4,TimesIntoBackoff,,,253
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[7].nic.mac1609_4,SlotsBackoff,,,385
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[7].nic.mac1609_4,NumInternalContention,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[7].nic.mac1609_4,totalBusyTime,,,0.518173
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[7].nic.mac1609_4,retriesExceeded:count,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[7].nic.mac1609_4,sentAcks:count,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[7].nic.mac1609_4,sentPackets:count,,,253
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[7].nic.mac1609_4,collisions:count,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[7].nic.mac1609_4,channelBusy:timeavg,,,0.020485101563833
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[7].veinsmobility,startTime,,,7.1
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[7].veinsmobility,totalTime,,,25.2
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[7].veinsmobility,stopTime,,,32.4
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[7].veinsmobility,minSpeed,,,0.25797491522809
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[7].veinsmobility,maxSpeed,,,14.137145299078
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[7].veinsmobility,totalDistance,,,279.54312668874
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[7].veinsmobility,totalCO2Emission,,,91.470246075815
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[0].appl,generatedWSMs,,,1
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[0].appl,receivedWSMs,,,39
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[0].appl,generatedBSMs,,,476
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[0].appl,receivedBSMs,,,10332
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[0].appl,generatedWSAs,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[0].appl,receivedWSAs,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[0].nic.phy80211p,busyTime,,,0.022770756302522
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[0].nic.mac1609_4,ReceivedUnicastPackets,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[0].nic.mac1609_4,ReceivedBroadcasts,,,10371
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[0].nic.mac1609_4,SentPackets,,,477
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[0].nic.mac1609_4,SentAcknowledgements,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[0].nic.mac1609_4,RetriesExceeded,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[0].nic.mac1609_4,SNIRLostPackets,,,2
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[0].nic.mac1609_4,RXTXLostPackets,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[0].nic.mac1609_4,TotalLostPackets,,,2
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[0].nic.mac1609_4,DroppedPacketsInMac,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[0].nic.mac1609_4,TooLittleTime,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[0].nic.mac1609_4,TimesIntoBackoff,,,477
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[0].nic.mac1609_4,SlotsBackoff,,,683
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[0].nic.mac1609_4,NumInternalContention,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[0].nic.mac1609_4,totalBusyTime,,,1.133893188635
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[0].nic.mac1609_4,retriesExceeded:count,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[0].nic.mac1609_4,sentAcks:count,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[0].nic.mac1609_4,sentPackets:count,,,477
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[0].nic.mac1609_4,collisions:count,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[0].nic.mac1609_4,channelBusy:timeavg,,,0.023823352950842
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[0].veinsmobility,startTime,,,0.1
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[0].veinsmobility,totalTime,,,47.5
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[0].veinsmobility,stopTime,,,47.7
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[0].veinsmobility,minSpeed,,,0.25404528568941
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[0].veinsmobility,maxSpeed,,,15.210538144778
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[0].veinsmobility,totalDistance,,,570.70314385804
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[0].veinsmobility,totalCO2Emission,,,172.51341935839
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[10].appl,generatedWSMs,,,1
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[10].appl,receivedWSMs,,,42
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[10].appl,generatedBSMs,,,387
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[10].appl,receivedBSMs,,,10675
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[10].appl,generatedWSAs,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[10].appl,receivedWSAs,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[10].nic.phy80211p,busyTime,,,0.028944496124033
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[10].nic.mac1609_4,ReceivedUnicastPackets,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[10].nic.mac1609_4,ReceivedBroadcasts,,,10717
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[10].nic.mac1609_4,SentPackets,,,388
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[10].nic.mac1609_4,SentAcknowledgements,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[10].nic.mac1609_4,RetriesExceeded,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[10].nic.mac1609_4,SNIRLostPackets,,,2
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[10].nic.mac1609_4,RXTXLostPackets,,,0
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[10].nic.mac1609_4,TotalLostPackets,,,2
Scenario2-8-20260625-12:14:22-4704,scalar,Scenario.node[10].nic.mac1609_4,DroppedPacketsInMac,,,0
