run,type,module,name,attrname,attrvalue,value
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[13].appl,generatedWSMs,,,0
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[13].appl,receivedWSMs,,,0
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[13].appl,generatedBSMs,,,133
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[13].appl,receivedBSMs,,,862
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[13].appl,generatedWSAs,,,0
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[13].appl,receivedWSAs,,,0
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[13].nic.phy80211p,busyTime,,,0.0073190977443611
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[13].nic.mac1609_4,ReceivedUnicastPackets,,,0
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[13].nic.mac1609_4,ReceivedBroadcasts,,,862
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[13].nic.mac1609_4,SentPackets,,,133
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[13].nic.mac1609_4,SentAcknowledgements,,,0
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[13].nic.mac1609_4,RetriesExceeded,,,0
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[13].nic.mac1609_4,SNIRLostPackets,,,74
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[13].nic.mac1609_4,RXTXLostPackets,,,0
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[13].nic.mac1609_4,TotalLostPackets,,,74
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[13].nic.mac1609_4,DroppedPacketsInMac,,,0
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[13].nic.mac1609_4,TooLittleTime,,,0
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[13].nic.mac1609_4,TimesIntoBackoff,,,133
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[13].nic.mac1609_4,SlotsBackoff,,,181
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[13].nic.mac1609_4,NumInternalContention,,,0
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[13].nic.mac1609_4,totalBusyTime,,,0.111309
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[13].nic.mac1609_4,retriesExceeded:count,,,0
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[13].nic.mac1609_4,sentAcks:count,,,0
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[13].nic.mac1609_4,sentPackets:count,,,133
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[13].nic.mac1609_4,collisions:count,,,0
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[13].nic.mac1609_4,channelBusy:timeavg,,,0.0083690977443611
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[13].veinsmobility,startTime,,,13.1
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[13].veinsmobility,totalTime,,,13.2
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[13].veinsmobility,stopTime,,,26.4
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[13].veinsmobility,minSpeed,,,0.25873206313117
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[13].veinsmobility,maxSpeed,,,13.373336292946
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[13].veinsmobility,totalDistance,,,133.3866089443
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[13].veinsmobility,totalCO2Emission,,,46.667888374267
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[6].appl,generatedWSMs,,,0
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[6].appl,receivedWSMs,,,0
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[6].appl,generatedBSMs,,,265
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[6].appl,receivedBSMs,,,2032
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[6].appl,generatedWSAs,,,0
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[6].appl,receivedWSAs,,,0
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[6].nic.phy80211p,busyTime,,,0.0088184150943395
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[6].nic.mac1609_4,ReceivedUnicastPackets,,,0
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[6].nic.mac1609_4,ReceivedBroadcasts,,,2032
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[6].nic.mac1609_4,SentPackets,,,265
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[6].nic.mac1609_4,SentAcknowledgements,,,0
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[6].nic.mac1609_4,RetriesExceeded,,,0
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[6].nic.mac1609_4,SNIRLostPackets,,,215
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[6].nic.mac1609_4,RXTXLostPackets,,,0
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[6].nic.mac1609_4,TotalLostPackets,,,215
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[6].nic.mac1609_4,DroppedPacketsInMac,,,0
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[6].nic.mac1609_4,TooLittleTime,,,0
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[6].nic.mac1609_4,TimesIntoBackoff,,,265
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[6].nic.mac1609_4,SlotsBackoff,,,409
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[6].nic.mac1609_4,NumInternalContention,,,0
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[6].nic.mac1609_4,totalBusyTime,,,0.261513
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[6].nic.mac1609_4,retriesExceeded:count,,,0
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[6].nic.mac1609_4,sentAcks:count,,,0
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[6].nic.mac1609_4,sentPackets:count,,,265
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[6].nic.mac1609_4,collisions:count,,,0
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[6].nic.mac1609_4,channelBusy:timeavg,,,0.0098684150943394
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[6].veinsmobility,startTime,,,6.1
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[6].veinsmobility,totalTime,,,26.4
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[6].veinsmobility,stopTime,,,32.6
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[6].veinsmobility,minSpeed,,,0.25616935493727
Scenario3-5-20260625-11:54:42-4313,scalar,Scenario.node[6].veinsmobility,maxSpeed,,,13.174950882881
