run,type,module,name,attrname,attrvalue,value
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[3].appl,generatedWSMs,,,0
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[3].appl,receivedWSMs,,,0
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[3].appl,generatedBSMs,,,253
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[3].appl,receivedBSMs,,,856
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[3].appl,generatedWSAs,,,0
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[3].appl,receivedWSAs,,,0
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[3].nic.phy80211p,busyTime,,,0.0039667984189724
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[3].nic.mac1609_4,ReceivedUnicastPackets,,,0
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[3].nic.mac1609_4,ReceivedBroadcasts,,,856
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[3].nic.mac1609_4,SentPackets,,,253
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[3].nic.mac1609_4,SentAcknowledgements,,,0
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[3].nic.mac1609_4,RetriesExceeded,,,0
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[3].nic.mac1609_4,SNIRLostPackets,,,109
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[3].nic.mac1609_4,RXTXLostPackets,,,0
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[3].nic.mac1609_4,TotalLostPackets,,,109
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[3].nic.mac1609_4,DroppedPacketsInMac,,,0
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[3].nic.mac1609_4,TooLittleTime,,,0
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[3].nic.mac1609_4,TimesIntoBackoff,,,253
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[3].nic.mac1609_4,SlotsBackoff,,,391
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[3].nic.mac1609_4,NumInternalContention,,,0
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[3].nic.mac1609_4,totalBusyTime,,,0.126925
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[3].nic.mac1609_4,retriesExceeded:count,,,0
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[3].nic.mac1609_4,sentAcks:count,,,0
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[3].nic.mac1609_4,sentPackets:count,,,253
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[3].nic.mac1609_4,collisions:count,,,0
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[3].nic.mac1609_4,channelBusy:timeavg,,,0.0050167984189724
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[3].veinsmobility,startTime,,,6.1
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[3].veinsmobility,totalTime,,,25.2
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[3].veinsmobility,stopTime,,,31.4
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[3].veinsmobility,minSpeed,,,0.25873206313117
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[3].veinsmobility,maxSpeed,,,14.272019292946
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[3].veinsmobility,totalDistance,,,278.14585382699
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[3].veinsmobility,totalCO2Emission,,,92.603067104604
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[0].appl,generatedWSMs,,,0
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[0].appl,receivedWSMs,,,0
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[0].appl,generatedBSMs,,,472
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[0].appl,receivedBSMs,,,1078
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[0].appl,generatedWSAs,,,0
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[0].appl,receivedWSAs,,,0
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[0].nic.phy80211p,busyTime,,,0.002829152542373
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[0].nic.mac1609_4,ReceivedUnicastPackets,,,0
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[0].nic.mac1609_4,ReceivedBroadcasts,,,1078
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[0].nic.mac1609_4,SentPackets,,,472
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[0].nic.mac1609_4,SentAcknowledgements,,,0
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[0].nic.mac1609_4,RetriesExceeded,,,0
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[0].nic.mac1609_4,SNIRLostPackets,,,206
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[0].nic.mac1609_4,RXTXLostPackets,,,0
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[0].nic.mac1609_4,TotalLostPackets,,,206
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[0].nic.mac1609_4,DroppedPacketsInMac,,,0
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[0].nic.mac1609_4,TooLittleTime,,,0
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[0].nic.mac1609_4,TimesIntoBackoff,,,472
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[0].nic.mac1609_4,SlotsBackoff,,,678
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[0].nic.mac1609_4,NumInternalContention,,,0
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[0].nic.mac1609_4,totalBusyTime,,,0.183096
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[0].nic.mac1609_4,retriesExceeded:count,,,0
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[0].nic.mac1609_4,sentAcks:count,,,0
Scenario4-7-20260627-16:43:25-6716,scalar,Scenario.node[0].nic.mac1609_4,sentPackets:count,,,472
