run,type,module,name,attrname,attrvalue,value
Scenario5-1-20260628-09:21:44-3050,scalar,Scenario.node[1].appl,generatedWSMs,,,0
Scenario5-1-20260628-09:21:44-3050,scalar,Scenario.node[1].appl,receivedWSMs,,,0
Scenario5-1-20260628-09:21:44-3050,scalar,Scenario.node[1].appl,generatedBSMs,,,793
Scenario5-1-20260628-09:21:44-3050,scalar,Scenario.node[1].appl,receivedBSMs,,,17057
Scenario5-1-20260628-09:21:44-3050,scalar,Scenario.node[1].appl,generatedWSAs,,,0
Scenario5-1-20260628-09:21:44-3050,scalar,Scenario.node[1].appl,receivedWSAs,,,0
Scenario5-1-20260628-09:21:44-3050,scalar,Scenario.node[1].nic.phy80211p,busyTime,,,0.022817049180337
Scenario5-1-20260628-09:21:44-3050,scalar,Scenario.node[1].nic.mac1609_4,ReceivedUnicastPackets,,,0
Scenario5-1-20260628-09:21:44-3050,scalar,Scenario.node[1].nic.mac1609_4,ReceivedBroadcasts,,,17057
Scenario5-1-20260628-09:21:44-3050,scalar,Scenario.node[1].nic.mac1609_4,SentPackets,,,793
Scenario5-1-20260628-09:21:44-3050,scalar,Scenario.node[1].nic.mac1609_4,SentAcknowledgements,,,0
Scenario5-1-20260628-09:21:44-3050,scalar,Scenario.node[1].nic.mac1609_4,RetriesExceeded,,,0
Scenario5-1-20260628-09:21:44-3050,scalar,Scenario.node[1].nic.mac1609_4,SNIRLostPackets,,,341
Scenario5-1-20260628-09:21:44-3050,scalar,Scenario.node[1].nic.mac1609_4,RXTXLostPackets,,,0
Scenario5-1-20260628-09:21:44-3050,scalar,Scenario.node[1].nic.mac1609_4,TotalLostPackets,,,341
Scenario5-1-20260628-09:21:44-3050,scalar,Scenario.node[1].nic.mac1609_4,DroppedPacketsInMac,,,0
Scenario5-1-20260628-09:21:44-3050,scalar,Scenario.node[1].nic.mac1609_4,TooLittleTime,,,0
Scenario5-1-20260628-09:21:44-3050,scalar,Scenario.node[1].nic.mac1609_4,TimesIntoBackoff,,,793
Scenario5-1-20260628-09:21:44-3050,scalar,Scenario.node[1].nic.mac1609_4,SlotsBackoff,,,1160
Scenario5-1-20260628-09:21:44-3050,scalar,Scenario.node[1].nic.mac1609_4,NumInternalContention,,,0
Scenario5-1-20260628-09:21:44-3050,scalar,Scenario.node[1].nic.mac1609_4,totalBusyTime,,,1.88631512498
Scenario5-1-20260628-09:21:44-3050,scalar,Scenario.node[1].nic.mac1609_4,retriesExceeded:count,,,0
Scenario5-1-20260628-09:21:44-3050,scalar,Scenario.node[1].nic.mac1609_4,sentAcks:count,,,0
Scenario5-1-20260628-09:21:44-3050,scalar,Scenario.node[1].nic.mac1609_4,sentPackets:count,,,793
